Date,open,Hour,Min,classification
20210101,14040.7,15,00,-1
20210101,14040.3,15,01,-1
20210101,14034.1,15,02,-1
20210101,14032.15,15,03,1
20210101,14031.05,15,04,-1
20210101,14027.9,15,05,-1
20210101,14028.45,15,06,-1
20210101,14023.85,15,07,1
20210101,14028.35,15,08,-1
20210101,14022.7,15,09,1
20210101,14024.4,15,10,-1
20210101,14019.45,15,11,1
20210101,14020.2,15,12,1
20210101,14019.6,15,13,-1
20210101,14018.0,15,14,-1
20210101,14016.3,15,15,-1
20210101,14016.15,15,16,-1
20210101,14014.35,15,17,-1
20210101,14011.45,15,18,-1
20210101,14009.55,15,19,1
20210101,14012.4,15,20,1
20210101,14013.6,15,21,-1
20210101,14011.05,15,22,-1
20210101,14007.0,15,23,1
20210101,14019.3,15,24,-1
20210101,14018.95,15,25,1
20210101,14023.45,15,26,-1
20210101,14019.65,15,27,-1
20210101,14018.6,15,28,-1
20210101,14017.85,15,29,-1
20210101,14015.45,15,30,-1
20210101,14015.1,15,31,-1
20210101,14017.55,15,32,1
20210104,14104.35,9,08,-1
20210104,14105.55,9,16,-1
20210104,14097.55,9,17,-1
20210104,14087.15,9,18,-1
20210104,14083.25,9,19,1
20210104,14087.35,9,20,1
20210104,14092.05,9,21,1
20210104,14095.75,9,22,1
20210104,14097.0,9,23,1
20210104,14099.3,9,24,-1
20210104,14096.4,9,25,-1
20210104,14092.3,9,26,-1
20210104,14089.0,9,27,-1
20210104,14088.85,9,28,1
20210104,14098.55,9,29,1
20210104,14103.4,9,30,-1
20210104,14103.65,9,31,1
20210104,14106.6,9,32,1
20210104,14108.8,9,33,1
20210104,14109.65,9,34,-1
20210104,14107.6,9,35,-1
20210104,14101.0,9,36,1
20210104,14106.4,9,37,-1
20210104,14103.5,9,38,-1
20210104,14101.9,9,39,-1
20210104,14099.75,9,40,-1
20210104,14093.45,9,41,1
20210104,14094.85,9,42,1
20210104,14096.25,9,43,-1
20210104,14094.8,9,44,-1
20210104,14093.75,9,45,1
20210104,14093.4,9,46,1
20210104,14098.75,9,47,-1
20210104,14099.4,9,48,-1
20210104,14092.9,9,49,-1
20210104,14089.15,9,50,-1
20210104,14086.0,9,51,1
20210104,14088.6,9,52,1
20210104,14093.1,9,53,1
20210104,14096.8,9,54,1
20210104,14097.4,9,55,1
20210104,14098.2,9,56,-1
20210104,14098.0,9,57,1
20210104,14100.6,9,58,1
20210104,14105.9,9,59,-1
20210104,14101.3,10,00,1
20210104,14101.75,10,01,1
20210104,14103.65,10,02,-1
20210104,14103.25,10,03,-1
20210104,14102.2,10,04,-1
20210104,14093.55,10,05,1
20210104,14093.45,10,06,1
20210104,14092.6,10,07,-1
20210104,14090.25,10,08,1
20210104,14094.45,10,09,1
20210104,14095.2,10,10,-1
20210104,14093.5,10,11,-1
20210104,14088.05,10,12,1
20210104,14088.55,10,13,-1
20210104,14082.75,10,14,1
20210104,14083.55,10,15,1
20210104,14086.95,10,16,1
20210104,14088.0,10,17,1
20210104,14090.75,10,18,1
20210104,14094.5,10,19,-1
20210104,14094.1,10,20,-1
20210104,14092.7,10,21,-1
20210104,14091.25,10,22,-1
20210104,14088.5,10,23,-1
20210104,14088.55,10,24,-1
20210104,14087.45,10,25,-1
20210104,14085.85,10,26,1
20210104,14089.05,10,27,1
20210104,14088.6,10,28,1
20210104,14090.0,10,29,1
20210104,14089.65,10,30,1
20210104,14090.05,10,31,-1
20210104,14088.75,10,32,-1
20210104,14087.45,10,33,-1
20210104,14086.85,10,34,-1
20210104,14083.85,10,35,-1
20210104,14082.75,10,36,1
20210104,14087.05,10,37,-1
20210104,14083.7,10,38,1
20210104,14085.35,10,39,-1
20210104,14083.65,10,40,-1
20210104,14083.4,10,41,1
20210104,14085.45,10,42,1
20210104,14087.05,10,43,-1
20210104,14086.8,10,44,1
20210104,14088.95,10,45,-1
20210104,14086.75,10,46,1
20210104,14088.9,10,47,-1
20210104,14081.9,10,48,-1
20210104,14078.7,10,49,-1
20210104,14061.5,10,50,1
20210104,14062.65,10,51,-1
20210104,14053.65,10,52,1
20210104,14060.2,10,53,1
20210104,14063.9,10,54,1
20210104,14067.9,10,55,-1
20210104,14065.5,10,56,-1
20210104,14064.55,10,57,-1
20210104,14059.25,10,58,-1
20210104,14046.4,10,59,-1
20210104,14043.2,11,00,1
20210104,14043.85,11,01,-1
20210104,14000.4,11,02,1
20210104,14010.75,11,03,1
20210104,14012.8,11,04,-1
20210104,13999.5,11,05,-1
20210104,13988.6,11,06,-1
20210104,13967.05,11,07,1
20210104,13978.4,11,08,1
20210104,14001.25,11,09,1
20210104,14002.3,11,10,-1
20210104,13996.15,11,11,1
20210104,14002.8,11,12,1
20210104,14004.1,11,13,1
20210104,14019.8,11,14,1
20210104,14025.75,11,15,-1
20210104,14017.65,11,16,1
20210104,14021.5,11,17,1
20210104,14022.3,11,18,-1
20210104,14012.95,11,19,-1
20210104,14011.85,11,20,-1
20210104,14010.5,11,21,1
20210104,14013.95,11,22,1
20210104,14014.25,11,23,-1
20210104,14012.85,11,24,-1
20210104,14009.55,11,25,1
20210104,14010.55,11,26,1
20210104,14017.65,11,27,1
20210104,14021.8,11,28,-1
20210104,14021.5,11,29,-1
20210104,14020.45,11,30,-1
20210104,14019.0,11,31,-1
20210104,14018.4,11,32,1
20210104,14036.0,11,33,1
20210104,14039.0,11,34,1
20210104,14043.85,11,35,1
20210104,14047.0,11,36,1
20210104,14051.05,11,37,-1
20210104,14048.25,11,38,-1
20210104,14047.45,11,39,-1
20210104,14046.1,11,40,-1
20210104,14041.45,11,41,1
20210104,14050.25,11,42,1
20210104,14054.25,11,43,1
20210104,14058.85,11,44,-1
20210104,14056.95,11,45,-1
20210104,14056.35,11,46,-1
20210104,14053.5,11,47,-1
20210104,14050.9,11,48,1
20210104,14057.5,11,49,-1
20210104,14055.15,11,50,-1
20210104,14048.7,11,51,-1
20210104,14044.0,11,52,-1
20210104,14041.8,11,53,-1
20210104,14034.65,11,54,-1
20210104,14032.2,11,55,1
20210104,14038.65,11,56,1
20210104,14045.95,11,57,-1
20210104,14042.05,11,58,1
20210104,14043.8,11,59,-1
20210104,14042.05,12,00,-1
20210104,14036.5,12,01,-1
20210104,14034.2,12,02,1
20210104,14037.2,12,03,1
20210104,14038.3,12,04,1
20210104,14038.35,12,05,1
20210104,14038.95,12,06,1
20210104,14044.65,12,07,-1
20210104,14042.55,12,08,1
20210104,14046.25,12,09,-1
20210104,14046.9,12,10,1
20210104,14049.8,12,11,1
20210104,14051.45,12,12,1
20210104,14051.2,12,13,-1
20210104,14049.9,12,14,1
20210104,14053.35,12,15,1
20210104,14061.05,12,16,1
20210104,14063.55,12,17,-1
20210104,14057.0,12,18,1
20210104,14058.7,12,19,-1
20210104,14054.9,12,20,-1
20210104,14054.15,12,21,-1
20210104,14051.5,12,22,1
20210104,14055.85,12,23,-1
20210104,14053.55,12,24,1
20210104,14054.1,12,25,1
20210104,14054.95,12,26,1
20210104,14058.05,12,27,-1
20210104,14052.85,12,28,-1
20210104,14049.9,12,29,1
20210104,14049.45,12,30,1
20210104,14051.7,12,31,1
20210104,14063.1,12,32,1
20210104,14067.65,12,33,-1
20210104,14062.5,12,34,1
20210104,14066.0,12,35,1
20210104,14069.3,12,36,-1
20210104,14068.0,12,37,-1
20210104,14065.7,12,38,1
20210104,14067.85,12,39,-1
20210104,14067.75,12,40,1
20210104,14068.7,12,41,1
20210104,14075.35,12,42,-1
20210104,14072.75,12,43,1
20210104,14072.8,12,44,1
20210104,14074.2,12,45,1
20210104,14075.9,12,46,1
20210104,14079.8,12,47,-1
20210104,14079.8,12,48,1
20210104,14082.35,12,49,-1
20210104,14082.3,12,50,-1
20210104,14081.25,12,51,-1
20210104,14081.7,12,52,-1
20210104,14077.35,12,53,-1
20210104,14073.35,12,54,1
20210104,14075.45,12,55,1
20210104,14077.55,12,56,-1
20210104,14074.15,12,57,1
20210104,14078.8,12,58,1
20210104,14083.4,12,59,1
20210104,14085.85,13,00,-1
20210104,14082.85,13,01,1
20210104,14084.85,13,02,-1
20210104,14070.05,13,03,1
20210104,14073.45,13,04,-1
20210104,14072.2,13,05,1
20210104,14074.05,13,06,1
20210104,14076.8,13,07,1
20210104,14078.2,13,08,1
20210104,14077.5,13,09,-1
20210104,14076.8,13,10,1
20210104,14079.7,13,11,1
20210104,14080.1,13,12,1
20210104,14081.2,13,13,1
20210104,14081.65,13,14,1
20210104,14080.85,13,15,1
20210104,14084.85,13,16,1
20210104,14084.5,13,17,1
20210104,14082.9,13,18,-1
20210104,14080.6,13,19,1
20210104,14080.65,13,20,1
20210104,14081.8,13,21,-1
20210104,14079.75,13,22,1
20210104,14080.0,13,23,-1
20210104,14078.9,13,24,1
20210104,14079.7,13,25,-1
20210104,14079.9,13,26,1
20210104,14079.2,13,27,1
20210104,14083.75,13,28,1
20210104,14086.05,13,29,1
20210104,14091.65,13,30,1
20210104,14093.25,13,31,1
20210104,14098.55,13,32,-1
20210104,14096.45,13,33,1
20210104,14099.4,13,34,-1
20210104,14096.15,13,35,1
20210104,14095.35,13,36,-1
20210104,14094.6,13,37,-1
20210104,14093.85,13,38,1
20210104,14095.9,13,39,-1
20210104,14092.15,13,40,-1
20210104,14091.0,13,41,1
20210104,14096.55,13,42,1
20210104,14096.7,13,43,-1
20210104,14094.05,13,44,1
20210104,14103.25,13,45,1
20210104,14102.75,13,46,-1
20210104,14101.65,13,47,-1
20210104,14100.25,13,48,-1
20210104,14097.3,13,49,1
20210104,14101.3,13,50,1
20210104,14102.15,13,51,1
20210104,14101.95,13,52,1
20210104,14105.15,13,53,1
20210104,14104.35,13,54,1
20210104,14107.8,13,55,-1
20210104,14107.9,13,56,1
20210104,14111.65,13,57,-1
20210104,14110.9,13,58,1
20210104,14114.5,13,59,-1
20210104,14113.2,14,00,1
20210104,14114.1,14,01,-1
20210104,14090.35,14,02,1
20210104,14090.85,14,03,1
20210104,14097.9,14,04,-1
20210104,14090.65,14,05,1
20210104,14091.05,14,06,-1
20210104,14088.5,14,07,1
20210104,14093.55,14,08,1
20210104,14093.55,14,09,-1
20210104,14092.3,14,10,1
20210104,14097.45,14,11,1
20210104,14097.4,14,12,-1
20210104,14095.65,14,13,-1
20210104,14092.8,14,14,1
20210104,14097.7,14,15,-1
20210104,14096.7,14,16,-1
20210104,14095.95,14,17,-1
20210104,14083.0,14,18,1
20210104,14086.25,14,19,-1
20210104,14080.65,14,20,-1
20210104,14068.95,14,21,1
20210104,14083.7,14,22,1
20210104,14083.55,14,23,1
20210104,14086.35,14,24,1
20210104,14087.55,14,25,1
20210104,14095.95,14,26,1
20210104,14100.5,14,27,1
20210104,14102.85,14,28,-1
20210104,14103.05,14,29,-1
20210104,14099.65,14,30,1
20210104,14103.05,14,31,1
20210104,14104.35,14,32,1
20210104,14107.1,14,33,1
20210104,14113.45,14,34,1
20210104,14114.85,14,35,-1
20210104,14112.45,14,36,-1
20210104,14110.35,14,37,1
20210104,14112.35,14,38,-1
20210104,14107.05,14,39,1
20210104,14107.85,14,40,1
20210104,14111.95,14,41,1
20210104,14116.1,14,42,-1
20210104,14113.45,14,43,1
20210104,14116.9,14,44,1
20210104,14116.35,14,45,-1
20210104,14110.7,14,46,-1
20210104,14110.5,14,47,-1
20210104,14110.1,14,48,-1
20210104,14106.75,14,49,1
20210104,14108.25,14,50,1
20210104,14115.35,14,51,1
20210104,14117.1,14,52,-1
20210104,14114.5,14,53,-1
20210104,14109.0,14,54,1
20210104,14109.3,14,55,1
20210104,14110.0,14,56,1
20210104,14111.85,14,57,-1
20210104,14109.4,14,58,1
20210104,14113.9,14,59,-1
20210104,14113.95,15,00,1
20210104,14115.3,15,01,1
20210104,14126.6,15,02,-1
20210104,14127.15,15,03,-1
20210104,14127.7,15,04,1
20210104,14129.2,15,05,1
20210104,14131.1,15,06,1
20210104,14131.15,15,07,1
20210104,14134.75,15,08,-1
20210104,14130.4,15,09,1
20210104,14130.95,15,10,1
20210104,14133.0,15,11,-1
20210104,14131.6,15,12,1
20210104,14132.8,15,13,-1
20210104,14132.05,15,14,-1
20210104,14126.2,15,15,1
20210104,14127.4,15,16,1
20210104,14128.35,15,17,-1
20210104,14123.95,15,18,1
20210104,14127.3,15,19,1
20210104,14127.6,15,20,1
20210104,14129.55,15,21,1
20210104,14132.65,15,22,-1
20210104,14130.85,15,23,1
20210104,14137.0,15,24,1
20210104,14140.15,15,25,1
20210104,14143.2,15,26,1
20210104,14142.75,15,27,1
20210104,14143.7,15,28,-1
20210104,14143.75,15,29,-1
20210104,14142.45,15,30,1
20210104,14144.5,15,31,-1
20210105,14075.15,9,08,-1
20210105,14078.05,9,16,-1
20210105,14069.2,9,17,1
20210105,14078.65,9,18,1
20210105,14092.5,9,19,1
20210105,14099.25,9,20,1
20210105,14107.9,9,21,-1
20210105,14102.15,9,22,-1
20210105,14093.95,9,23,1
20210105,14097.45,9,24,1
20210105,14101.6,9,25,1
20210105,14110.0,9,26,-1
20210105,14098.45,9,27,1
20210105,14102.25,9,28,-1
20210105,14098.2,9,29,1
20210105,14105.2,9,30,1
20210105,14108.8,9,31,-1
20210105,14108.15,9,32,-1
20210105,14105.55,9,33,-1
20210105,14099.45,9,34,1
20210105,14100.05,9,35,-1
20210105,14096.1,9,36,-1
20210105,14096.75,9,37,1
20210105,14103.7,9,38,-1
20210105,14097.75,9,39,-1
20210105,14095.15,9,40,-1
20210105,14087.6,9,41,1
20210105,14089.55,9,42,-1
20210105,14085.8,9,43,-1
20210105,14079.1,9,44,1
20210105,14083.75,9,45,1
20210105,14091.9,9,46,-1
20210105,14090.05,9,47,1
20210105,14093.75,9,48,1
20210105,14096.1,9,49,-1
20210105,14096.0,9,50,1
20210105,14099.75,9,51,-1
20210105,14098.4,9,52,-1
20210105,14097.0,9,53,-1
20210105,14096.3,9,54,-1
20210105,14094.35,9,55,1
20210105,14097.7,9,56,-1
20210105,14097.0,9,57,-1
20210105,14092.5,9,58,-1
20210105,14089.05,9,59,-1
20210105,14088.4,10,00,-1
20210105,14084.15,10,01,1
20210105,14085.15,10,02,-1
20210105,14080.95,10,03,1
20210105,14087.2,10,04,-1
20210105,14077.3,10,05,1
20210105,14076.95,10,06,-1
20210105,14074.9,10,07,1
20210105,14078.55,10,08,1
20210105,14082.45,10,09,-1
20210105,14082.4,10,10,-1
20210105,14070.2,10,11,-1
20210105,14069.4,10,12,-1
20210105,14067.95,10,13,1
20210105,14072.0,10,14,1
20210105,14073.35,10,15,-1
20210105,14070.8,10,16,-1
20210105,14063.8,10,17,-1
20210105,14061.6,10,18,-1
20210105,14057.55,10,19,1
20210105,14059.0,10,20,-1
20210105,14053.35,10,21,1
20210105,14055.95,10,22,1
20210105,14069.3,10,23,1
20210105,14071.65,10,24,-1
20210105,14070.5,10,25,-1
20210105,14066.1,10,26,1
20210105,14077.75,10,27,-1
20210105,14074.95,10,28,1
20210105,14075.65,10,29,1
20210105,14078.05,10,30,-1
20210105,14075.55,10,31,1
20210105,14078.0,10,32,1
20210105,14087.95,10,33,-1
20210105,14084.15,10,34,1
20210105,14084.65,10,35,-1
20210105,14081.35,10,36,-1
20210105,14078.35,10,37,-1
20210105,14077.95,10,38,1
20210105,14079.7,10,39,1
20210105,14084.15,10,40,1
20210105,14087.2,10,41,-1
20210105,14084.65,10,42,1
20210105,14087.2,10,43,1
20210105,14087.2,10,44,1
20210105,14089.25,10,45,1
20210105,14088.9,10,46,1
20210105,14090.0,10,47,-1
20210105,14083.55,10,48,1
20210105,14086.45,10,49,1
20210105,14095.35,10,50,1
20210105,14099.9,10,51,-1
20210105,14100.05,10,52,1
20210105,14101.5,10,53,1
20210105,14103.05,10,54,1
20210105,14104.6,10,55,1
20210105,14107.8,10,56,1
20210105,14110.1,10,57,1
20210105,14113.4,10,58,-1
20210105,14107.5,10,59,-1
20210105,14104.1,11,00,1
20210105,14106.4,11,01,1
20210105,14106.35,11,02,1
20210105,14107.05,11,03,-1
20210105,14107.0,11,04,-1
20210105,14105.75,11,05,1
20210105,14110.8,11,06,-1
20210105,14108.25,11,07,-1
20210105,14108.1,11,08,1
20210105,14121.65,11,09,-1
20210105,14118.2,11,10,1
20210105,14120.3,11,11,-1
20210105,14120.3,11,12,1
20210105,14124.15,11,13,-1
20210105,14123.85,11,14,-1
20210105,14121.55,11,15,-1
20210105,14119.7,11,16,-1
20210105,14113.3,11,17,1
20210105,14113.65,11,18,1
20210105,14115.4,11,19,1
20210105,14122.8,11,20,1
20210105,14122.8,11,21,-1
20210105,14123.1,11,22,1
20210105,14125.4,11,23,-1
20210105,14124.55,11,24,1
20210105,14130.9,11,25,-1
20210105,14129.1,11,26,-1
20210105,14125.65,11,27,-1
20210105,14122.9,11,28,1
20210105,14123.7,11,29,1
20210105,14126.6,11,30,1
20210105,14128.75,11,31,1
20210105,14131.85,11,32,1
20210105,14134.2,11,33,-1
20210105,14133.0,11,34,-1
20210105,14126.65,11,35,-1
20210105,14124.3,11,36,1
20210105,14126.0,11,37,-1
20210105,14124.85,11,38,-1
20210105,14121.2,11,39,-1
20210105,14118.85,11,40,1
20210105,14120.6,11,41,1
